"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE","CREATEDAT","UPDATEDAT"
"skillgroup","673b3fd26221dab5a11bb29b","673b3fda6221dab5a11bccf8","skill","2024-11-18T13:23:57.974Z","2024-11-18T13:23:57.974Z"
"skillgroup","673b3fd26221dab5a11bb344","673b3fda6221dab5a11bccf9","skill","2024-11-18T13:23:57.974Z","2024-11-18T13:23:57.974Z"
"skillgroup","673b3fd26221dab5a11bb331","673b3fda6221dab5a11bccfa","skill","2024-11-18T13:23:57.974Z","2024-11-18T13:23:57.974Z"
"skillgroup","673b3fd26221dab5a11bb471","673b3fda6221dab5a11bccfb","skill","2024-11-18T13:23:57.974Z","2024-11-18T13:23:57.974Z"
"skillgroup","673b3fd26221dab5a11bb2af","673b3fda6221dab5a11bccfc","skill","2024-11-18T13:23:57.974Z","2024-11-18T13:23:57.974Z"
"skillgroup","673b3fd26221dab5a11bb43e","673b3fda6221dab5a11bccfd","skill","2024-11-18T13:23:57.974Z","2024-11-18T13:23:57.974Z"
"skillgroup","673b3fd26221dab5a11bb43c","673b3fda6221dab5a11bccfe","skill","2024-11-18T13:23:57.974Z","2024-11-18T13:23:57.974Z"
"skillgroup","673b3fd26221dab5a11bb3c1","673b3fda6221dab5a11bccff","skill","2024-11-18T13:23:57.974Z","2024-11-18T13:23:57.974Z"
"skillgroup","673b3fd26221dab5a11bb486","673b3fda6221dab5a11bcd00","skill","2024-11-18T13:23:57.974Z","2024-11-18T13:23:57.974Z"
"skill","673b3fd56221dab5a11bbf53","673b3fda6221dab5a11bcd00","skill","2024-11-18T13:24:04.494Z","2024-11-18T13:24:04.494Z"
"skillgroup","673b3fd26221dab5a11bb482","673b3fda6221dab5a11bcd01","skill","2024-11-18T13:23:57.974Z","2024-11-18T13:23:57.974Z"
"skillgroup","673b3fd26221dab5a11bb3de","673b3fda6221dab5a11bcd02","skill","2024-11-18T13:23:57.974Z","2024-11-18T13:23:57.974Z"
"skill","673b3fda6221dab5a11bcb87","673b3fda6221dab5a11bcd02","skill","2024-11-18T13:24:04.494Z","2024-11-18T13:24:04.494Z"
"skillgroup","673b3fd26221dab5a11bb393","673b3fda6221dab5a11bcd03","skill","2024-11-18T13:23:57.974Z","2024-11-18T13:23:57.974Z"
"skill","673b3fda6221dab5a11bd671","673b3fda6221dab5a11bcd03","skill","2024-11-18T13:24:04.494Z","2024-11-18T13:24:04.494Z"
"skillgroup","673b3fd26221dab5a11bb389","673b3fda6221dab5a11bcd04","skill","2024-11-18T13:23:57.974Z","2024-11-18T13:23:57.974Z"
"skillgroup","673b3fd26221dab5a11bb351","673b3fda6221dab5a11bcd05","skill","2024-11-18T13:23:57.974Z","2024-11-18T13:23:57.974Z"
"skillgroup","673b3fd26221dab5a11bb2bc","673b3fda6221dab5a11bcd06","skill","2024-11-18T13:23:57.974Z","2024-11-18T13:23:57.974Z"
